age,job,marital,education,default,housing,loan,contact,month,day_of_week,campaign,pdays,previous,poutcome,emp.var.rate,cons.price.idx,cons.conf.idx,euribor3m,nr.employed,y,education_ordered,age_bins
32,admin.,married,university.degree,no,no,no,1.0,aug,thu,1.0,999,0,nonexistent,1.4,93.444,-36.1,4.963,5228.1,0,university.degree,"(25, 35]"
34,technician,single,professional.course,no,yes,no,1.0,may,wed,2.0,999,0,nonexistent,-1.8,92.893,-46.2,1.281,5099.1,0,professional.course,"(25, 35]"
54,retired,married,basic.9y,no,no,yes,0.0,may,mon,1.0,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,basic.9y,"(45, 55]"
32,admin.,single,high.school,no,no,no,0.0,may,wed,2.0,999,0,nonexistent,1.1,93.994,-36.4,4.856,5191.0,0,high.school,"(25, 35]"
30,admin.,divorced,basic.6y,no,no,no,1.0,jul,wed,6.0,999,0,nonexistent,1.4,93.918,-42.7,4.963,5228.1,0,basic.6y,"(25, 35]"
40,technician,married,professional.course,no,yes,no,0.0,oct,tue,1.0,999,0,nonexistent,-1.1,94.601,-49.5,0.956,4963.6,0,professional.course,"(35, 45]"
28,services,single,high.school,no,yes,yes,1.0,may,fri,6.0,999,0,nonexistent,-1.8,92.893,-46.2,1.25,5099.1,0,high.school,"(25, 35]"
60,retired,divorced,basic.4y,no,yes,no,0.0,jul,tue,1.0,999,0,nonexistent,1.4,93.918,-42.7,4.961,5228.1,0,basic.4y,"(55, 65]"
30,admin.,married,university.degree,no,yes,no,1.0,apr,thu,1.0,999,0,nonexistent,-1.8,93.075,-47.1,1.365,5099.1,0,university.degree,"(25, 35]"
47,blue-collar,married,basic.4y,unknown,yes,no,0.0,may,mon,2.0,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,basic.4y,"(45, 55]"
40,blue-collar,married,basic.9y,no,yes,no,1.0,may,thu,1.0,999,0,nonexistent,-1.8,92.893,-46.2,1.266,5099.1,0,basic.9y,"(35, 45]"
41,management,married,university.degree,no,no,no,1.0,jul,wed,3.0,999,0,nonexistent,1.4,93.918,-42.7,4.963,5228.1,0,university.degree,"(35, 45]"
22,admin.,married,high.school,no,no,no,0.0,may,tue,2.0,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,high.school,"(15, 25]"
44,blue-collar,married,basic.9y,no,yes,no,1.0,nov,tue,1.0,999,0,nonexistent,-0.1,93.2,-42.0,4.153,5195.8,0,basic.9y,"(35, 45]"
36,admin.,single,university.degree,no,yes,no,1.0,apr,thu,3.0,999,2,failure,-1.8,93.075,-47.1,1.435,5099.1,0,university.degree,"(35, 45]"
30,admin.,married,university.degree,no,no,yes,0.0,jul,fri,2.0,999,0,nonexistent,1.4,93.918,-42.7,4.963,5228.1,0,university.degree,"(25, 35]"
32,admin.,single,university.degree,no,yes,yes,1.0,nov,fri,1.0,999,0,nonexistent,-0.1,93.2,-42.0,4.021,5195.8,0,university.degree,"(25, 35]"
36,blue-collar,married,basic.6y,no,yes,no,1.0,may,wed,1.0,999,1,failure,-1.8,92.893,-46.2,1.281,5099.1,0,basic.6y,"(35, 45]"
44,technician,married,professional.course,no,yes,no,1.0,sep,tue,1.0,4,1,success,-3.4,92.379,-29.8,0.755,5017.5,1,professional.course,"(35, 45]"
29,services,single,professional.course,no,yes,no,1.0,jul,mon,2.0,999,0,nonexistent,1.4,93.918,-42.7,4.96,5228.1,0,professional.course,"(25, 35]"
58,retired,married,basic.4y,no,no,no,1.0,aug,wed,4.0,999,0,nonexistent,1.4,93.444,-36.1,4.965,5228.1,0,basic.4y,"(55, 65]"
39,unemployed,single,high.school,no,yes,no,0.0,apr,mon,1.0,999,0,nonexistent,-1.8,93.075,-47.1,1.405,5099.1,0,high.school,"(35, 45]"
33,blue-collar,married,basic.9y,no,yes,yes,1.0,may,fri,1.0,999,0,nonexistent,-1.8,92.893,-46.2,1.313,5099.1,0,basic.9y,"(25, 35]"
37,management,divorced,university.degree,no,yes,no,1.0,nov,wed,1.0,999,1,failure,-0.1,93.2,-42.0,4.12,5195.8,0,university.degree,"(35, 45]"
33,admin.,married,high.school,no,no,no,1.0,may,wed,4.0,999,1,failure,-1.8,92.893,-46.2,1.334,5099.1,0,high.school,"(25, 35]"
58,management,unknown,university.degree,no,no,no,0.0,jun,wed,6.0,999,0,nonexistent,1.4,94.465,-41.8,4.962,5228.1,0,university.degree,"(55, 65]"
31,services,married,high.school,no,yes,no,1.0,jul,mon,1.0,999,0,nonexistent,1.4,93.918,-42.7,4.96,5228.1,0,high.school,"(25, 35]"
50,housemaid,married,basic.4y,no,no,no,1.0,nov,tue,2.0,999,0,nonexistent,-0.1,93.2,-42.0,4.153,5195.8,0,basic.4y,"(45, 55]"
80,retired,married,professional.course,no,yes,no,1.0,oct,thu,1.0,999,1,failure,-1.1,94.601,-49.5,1.025,4963.6,1,professional.course,"(75, 85]"
21,blue-collar,single,basic.9y,no,no,no,1.0,jul,wed,1.0,999,0,nonexistent,1.4,93.918,-42.7,4.962,5228.1,0,basic.9y,"(15, 25]"
28,blue-collar,single,basic.9y,no,yes,no,1.0,may,wed,1.0,999,0,nonexistent,-1.8,92.893,-46.2,1.281,5099.1,0,basic.9y,"(25, 35]"
32,housemaid,married,basic.9y,no,no,no,0.0,jul,thu,1.0,999,0,nonexistent,1.4,93.918,-42.7,4.966,5228.1,0,basic.9y,"(25, 35]"
32,admin.,divorced,high.school,no,yes,no,0.0,may,thu,6.0,999,0,nonexistent,1.1,93.994,-36.4,4.86,5191.0,0,high.school,"(25, 35]"
30,services,single,high.school,no,yes,no,1.0,sep,thu,1.0,999,3,failure,-1.1,94.199,-37.5,0.878,4963.6,0,high.school,"(25, 35]"
37,unemployed,single,basic.9y,unknown,yes,yes,1.0,jul,wed,1.0,999,0,nonexistent,1.4,93.918,-42.7,4.963,5228.1,1,basic.9y,"(35, 45]"
49,blue-collar,married,basic.4y,no,yes,no,0.0,aug,thu,1.0,999,0,nonexistent,1.4,93.444,-36.1,4.964,5228.1,0,basic.4y,"(45, 55]"
37,management,married,university.degree,no,no,no,1.0,apr,mon,1.0,999,0,nonexistent,-1.8,93.075,-47.1,1.405,5099.1,0,university.degree,"(35, 45]"
59,housemaid,divorced,basic.6y,unknown,yes,no,1.0,may,tue,2.0,999,0,nonexistent,-1.8,92.893,-46.2,1.291,5099.1,0,basic.6y,"(55, 65]"
51,blue-collar,married,basic.9y,no,yes,no,1.0,apr,mon,4.0,999,0,nonexistent,-1.8,93.075,-47.1,1.405,5099.1,0,basic.9y,"(45, 55]"
32,admin.,single,high.school,no,yes,no,1.0,may,thu,6.0,999,0,nonexistent,-1.8,92.893,-46.2,1.266,5099.1,0,high.school,"(25, 35]"
36,unemployed,single,basic.4y,unknown,no,no,0.0,may,fri,1.0,999,0,nonexistent,1.1,93.994,-36.4,4.855,5191.0,0,basic.4y,"(35, 45]"
29,self-employed,married,university.degree,no,yes,no,1.0,jul,tue,6.0,999,0,nonexistent,1.4,93.918,-42.7,4.961,5228.1,0,university.degree,"(25, 35]"
56,entrepreneur,married,university.degree,no,yes,yes,1.0,apr,thu,1.0,999,0,nonexistent,-1.8,93.075,-47.1,1.365,5099.1,1,university.degree,"(55, 65]"
46,admin.,married,university.degree,unknown,yes,no,1.0,aug,tue,3.0,999,0,nonexistent,1.4,93.444,-36.1,4.965,5228.1,0,university.degree,"(45, 55]"
48,entrepreneur,married,high.school,no,no,no,1.0,aug,wed,5.0,999,0,nonexistent,1.4,93.444,-36.1,4.964,5228.1,0,high.school,"(45, 55]"
30,blue-collar,married,basic.4y,no,yes,no,1.0,apr,thu,1.0,999,0,nonexistent,-1.8,93.075,-47.1,1.435,5099.1,1,basic.4y,"(25, 35]"
28,admin.,married,university.degree,no,no,no,0.0,jun,mon,2.0,999,0,nonexistent,1.4,94.465,-41.8,4.865,5228.1,0,university.degree,"(25, 35]"
45,admin.,married,high.school,no,yes,no,1.0,jul,fri,2.0,999,0,nonexistent,1.4,93.918,-42.7,4.962,5228.1,0,high.school,"(35, 45]"
49,blue-collar,married,basic.6y,no,yes,yes,1.0,aug,mon,3.0,999,0,nonexistent,1.4,93.444,-36.1,4.965,5228.1,0,basic.6y,"(45, 55]"
40,blue-collar,married,basic.9y,no,no,no,0.0,jun,wed,6.0,999,0,nonexistent,1.4,94.465,-41.8,4.962,5228.1,0,basic.9y,"(35, 45]"
40,blue-collar,married,basic.9y,unknown,yes,no,0.0,jun,mon,1.0,999,0,nonexistent,1.4,94.465,-41.8,4.961,5228.1,0,basic.9y,"(35, 45]"
33,services,single,high.school,no,yes,yes,1.0,nov,wed,1.0,999,0,nonexistent,-0.1,93.2,-42.0,4.12,5195.8,0,high.school,"(25, 35]"
32,technician,divorced,professional.course,no,yes,no,1.0,nov,tue,1.0,999,1,failure,-0.1,93.2,-42.0,4.153,5195.8,0,professional.course,"(25, 35]"
42,blue-collar,married,basic.9y,unknown,no,yes,1.0,may,thu,3.0,999,1,failure,-1.8,92.893,-46.2,1.266,5099.1,0,unknown,"(35, 45]"
33,management,married,high.school,no,no,no,0.0,jul,thu,3.0,999,0,nonexistent,1.4,93.918,-42.7,4.963,5228.1,0,high.school,"(25, 35]"
46,technician,married,basic.6y,unknown,yes,no,1.0,apr,wed,2.0,999,0,nonexistent,-1.8,93.075,-47.1,1.445,5099.1,1,basic.6y,"(45, 55]"
34,blue-collar,married,professional.course,unknown,yes,no,0.0,jun,thu,3.0,999,0,nonexistent,1.4,94.465,-41.8,4.961,5228.1,0,professional.course,"(25, 35]"
33,admin.,single,university.degree,no,yes,no,1.0,jun,thu,3.0,999,0,nonexistent,-2.9,92.963,-40.8,1.26,5076.2,0,university.degree,"(25, 35]"
35,admin.,single,university.degree,no,no,no,1.0,aug,mon,2.0,999,0,nonexistent,1.4,93.444,-36.1,4.97,5228.1,0,university.degree,"(25, 35]"
26,admin.,single,high.school,no,no,no,0.0,may,fri,2.0,999,0,nonexistent,1.1,93.994,-36.4,4.859,5191.0,1,high.school,"(25, 35]"
35,self-employed,single,basic.6y,unknown,no,yes,0.0,may,wed,2.0,999,0,nonexistent,1.1,93.994,-36.4,4.859,5191.0,0,basic.6y,"(25, 35]"
41,self-employed,married,basic.9y,no,no,no,1.0,apr,fri,1.0,999,1,failure,-1.8,93.075,-47.1,1.405,5099.1,0,basic.9y,"(35, 45]"
24,blue-collar,single,basic.9y,no,no,yes,1.0,may,thu,1.0,999,1,failure,-1.8,92.893,-46.2,1.266,5099.1,0,basic.9y,"(15, 25]"
35,services,married,high.school,unknown,yes,no,0.0,may,tue,6.0,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,high.school,"(25, 35]"
58,housemaid,single,professional.course,no,yes,no,1.0,apr,mon,1.0,6,1,success,-1.8,93.749,-34.6,0.642,5008.7,0,professional.course,"(55, 65]"
34,technician,divorced,professional.course,no,no,no,1.0,jul,tue,5.0,999,0,nonexistent,1.4,93.918,-42.7,4.961,5228.1,0,professional.course,"(25, 35]"
26,blue-collar,single,basic.6y,no,yes,yes,1.0,may,fri,2.0,999,1,failure,-1.8,92.893,-46.2,1.313,5099.1,0,basic.6y,"(25, 35]"
46,entrepreneur,married,basic.9y,no,no,no,0.0,jun,mon,1.0,999,0,nonexistent,1.4,94.465,-41.8,4.865,5228.1,0,basic.9y,"(45, 55]"
42,technician,divorced,basic.9y,no,no,no,0.0,may,thu,1.0,999,0,nonexistent,1.1,93.994,-36.4,4.86,5191.0,0,basic.9y,"(35, 45]"
44,retired,single,basic.4y,no,yes,yes,0.0,jun,fri,2.0,999,0,nonexistent,1.4,94.465,-41.8,4.959,5228.1,0,basic.4y,"(35, 45]"
56,management,married,university.degree,no,yes,no,1.0,nov,tue,1.0,999,0,nonexistent,-3.4,92.649,-30.1,0.72,5017.5,1,university.degree,"(55, 65]"
42,entrepreneur,married,university.degree,unknown,no,no,1.0,jul,fri,6.0,999,0,nonexistent,1.4,93.918,-42.7,4.957,5228.1,0,university.degree,"(35, 45]"
56,blue-collar,married,basic.9y,no,yes,no,1.0,nov,fri,2.0,999,0,nonexistent,-0.1,93.2,-42.0,4.021,5195.8,0,basic.9y,"(55, 65]"
78,retired,divorced,high.school,no,no,no,1.0,sep,thu,1.0,999,2,failure,-1.1,94.199,-37.5,0.884,4963.6,0,high.school,"(75, 85]"
25,blue-collar,married,basic.9y,no,no,no,1.0,jul,thu,1.0,999,0,nonexistent,1.4,93.918,-42.7,4.963,5228.1,0,basic.9y,"(15, 25]"
36,admin.,single,university.degree,no,yes,no,1.0,jul,thu,6.0,999,0,nonexistent,1.4,93.918,-42.7,4.968,5228.1,0,university.degree,"(35, 45]"
54,blue-collar,married,professional.course,unknown,yes,yes,1.0,aug,tue,6.0,999,0,nonexistent,1.4,93.444,-36.1,4.966,5228.1,0,professional.course,"(45, 55]"
31,blue-collar,single,high.school,no,yes,no,1.0,jul,wed,1.0,999,0,nonexistent,1.4,93.918,-42.7,4.963,5228.1,0,high.school,"(25, 35]"
34,blue-collar,married,basic.4y,unknown,no,no,1.0,aug,wed,3.0,999,0,nonexistent,1.4,93.444,-36.1,4.967,5228.1,0,unknown,"(25, 35]"
33,management,single,university.degree,no,no,yes,0.0,may,fri,6.0,999,0,nonexistent,1.1,93.994,-36.4,4.859,5191.0,0,university.degree,"(25, 35]"
46,technician,single,basic.9y,no,no,no,1.0,apr,thu,2.0,999,1,failure,-1.8,93.075,-47.1,1.435,5099.1,0,basic.9y,"(45, 55]"
77,retired,married,high.school,no,yes,no,1.0,apr,thu,6.0,999,0,nonexistent,-1.8,93.749,-34.6,0.644,5008.7,1,high.school,"(75, 85]"
30,admin.,single,university.degree,no,yes,yes,1.0,aug,wed,4.0,999,0,nonexistent,1.4,93.444,-36.1,4.965,5228.1,0,university.degree,"(25, 35]"
38,services,married,high.school,no,yes,no,0.0,may,mon,3.0,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,high.school,"(35, 45]"
31,entrepreneur,married,university.degree,no,yes,no,1.0,aug,fri,1.0,999,0,nonexistent,1.4,93.444,-36.1,4.966,5228.1,0,university.degree,"(25, 35]"
56,unemployed,married,basic.9y,no,yes,yes,1.0,nov,fri,2.0,999,0,nonexistent,-0.1,93.2,-42.0,4.021,5195.8,0,basic.9y,"(55, 65]"
54,technician,married,professional.course,unknown,yes,no,1.0,aug,mon,2.0,999,0,nonexistent,1.4,93.444,-36.1,4.97,5228.1,0,professional.course,"(45, 55]"
39,services,married,high.school,no,no,no,0.0,may,thu,3.0,999,0,nonexistent,1.1,93.994,-36.4,4.86,5191.0,0,high.school,"(35, 45]"
27,admin.,single,high.school,no,no,no,1.0,may,wed,1.0,999,0,nonexistent,-1.8,92.893,-46.2,1.281,5099.1,0,high.school,"(25, 35]"
36,admin.,married,high.school,no,yes,no,1.0,sep,thu,1.0,999,0,nonexistent,-3.4,92.379,-29.8,0.766,5017.5,0,high.school,"(35, 45]"
50,blue-collar,married,basic.4y,unknown,no,no,0.0,may,tue,1.0,999,0,nonexistent,1.1,93.994,-36.4,4.856,5191.0,0,basic.4y,"(45, 55]"
33,admin.,single,university.degree,no,yes,no,1.0,jul,wed,1.0,999,0,nonexistent,1.4,93.918,-42.7,4.962,5228.1,0,university.degree,"(25, 35]"
43,blue-collar,married,basic.9y,no,no,no,1.0,nov,tue,1.0,999,0,nonexistent,-0.1,93.2,-42.0,4.153,5195.8,0,basic.9y,"(35, 45]"
30,admin.,single,university.degree,no,no,no,1.0,aug,thu,2.0,999,0,nonexistent,1.4,93.444,-36.1,4.962,5228.1,0,university.degree,"(25, 35]"
47,technician,married,professional.course,unknown,yes,no,1.0,nov,fri,2.0,999,1,failure,-0.1,93.2,-42.0,4.021,5195.8,0,unknown,"(45, 55]"
33,blue-collar,single,basic.9y,unknown,yes,yes,0.0,may,fri,1.0,999,0,nonexistent,1.1,93.994,-36.4,4.855,5191.0,0,basic.9y,"(25, 35]"
34,admin.,single,high.school,no,yes,no,0.0,may,tue,6.0,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,high.school,"(25, 35]"
28,services,single,high.school,no,yes,yes,0.0,may,tue,2.0,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,high.school,"(25, 35]"
33,admin.,married,university.degree,no,no,no,1.0,aug,fri,1.0,999,0,nonexistent,1.4,93.444,-36.1,4.964,5228.1,0,university.degree,"(25, 35]"
30,technician,single,university.degree,unknown,no,no,1.0,aug,thu,1.0,999,0,nonexistent,1.4,93.444,-36.1,4.968,5228.1,0,university.degree,"(25, 35]"
35,admin.,single,university.degree,no,yes,no,0.0,aug,thu,1.0,999,0,nonexistent,-2.9,92.201,-31.4,0.883,5076.2,1,university.degree,"(25, 35]"
47,services,married,high.school,unknown,yes,no,0.0,may,mon,1.0,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,high.school,"(45, 55]"
60,retired,married,professional.course,no,no,no,1.0,aug,wed,1.0,999,0,nonexistent,1.4,93.444,-36.1,4.964,5228.1,0,professional.course,"(55, 65]"
35,admin.,married,university.degree,no,yes,no,0.0,may,mon,3.0,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,university.degree,"(25, 35]"
37,unemployed,married,university.degree,no,yes,no,0.0,jun,tue,3.0,2,2,success,-1.7,94.055,-39.8,0.723,4991.6,0,university.degree,"(35, 45]"
33,admin.,single,university.degree,no,no,no,1.0,nov,thu,3.0,999,0,nonexistent,-0.1,93.2,-42.0,4.076,5195.8,0,university.degree,"(25, 35]"
53,blue-collar,married,basic.6y,no,yes,yes,1.0,jul,tue,2.0,999,0,nonexistent,1.4,93.918,-42.7,4.961,5228.1,0,basic.6y,"(45, 55]"
36,technician,married,basic.6y,no,no,no,1.0,apr,mon,2.0,999,1,failure,-1.8,93.075,-47.1,1.405,5099.1,0,basic.6y,"(35, 45]"
41,technician,single,professional.course,no,no,no,1.0,may,mon,1.0,999,0,nonexistent,-1.8,92.893,-46.2,1.299,5099.1,0,professional.course,"(35, 45]"
50,blue-collar,married,basic.4y,no,yes,no,1.0,aug,mon,1.0,999,0,nonexistent,1.4,93.444,-36.1,4.965,5228.1,0,basic.4y,"(45, 55]"
36,technician,single,high.school,no,yes,no,1.0,may,thu,1.0,999,1,failure,-1.8,92.893,-46.2,1.327,5099.1,0,high.school,"(35, 45]"
45,blue-collar,single,basic.9y,no,no,no,0.0,may,tue,2.0,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,basic.9y,"(35, 45]"
39,management,married,university.degree,unknown,yes,no,1.0,jul,mon,3.0,999,0,nonexistent,1.4,93.918,-42.7,4.96,5228.1,1,university.degree,"(35, 45]"
28,blue-collar,married,basic.6y,unknown,yes,no,0.0,jun,wed,1.0,999,0,nonexistent,1.4,94.465,-41.8,4.864,5228.1,0,basic.6y,"(25, 35]"
29,management,single,university.degree,no,yes,yes,0.0,may,mon,3.0,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,university.degree,"(25, 35]"
33,admin.,married,university.degree,no,yes,no,1.0,nov,fri,1.0,12,1,success,-1.1,94.767,-50.8,1.049,4963.6,1,university.degree,"(25, 35]"
34,admin.,single,university.degree,no,yes,no,1.0,apr,tue,1.0,999,0,nonexistent,-1.8,93.075,-47.1,1.423,5099.1,0,university.degree,"(25, 35]"
29,admin.,single,high.school,no,no,yes,0.0,may,mon,1.0,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,high.school,"(25, 35]"
49,technician,married,basic.4y,no,no,yes,1.0,nov,fri,2.0,999,0,nonexistent,-0.1,93.2,-42.0,4.021,5195.8,0,basic.4y,"(45, 55]"
31,entrepreneur,single,high.school,no,no,no,1.0,nov,thu,1.0,999,0,nonexistent,-0.1,93.2,-42.0,4.076,5195.8,0,high.school,"(25, 35]"
42,blue-collar,married,basic.6y,no,no,no,0.0,may,wed,1.0,999,0,nonexistent,1.1,93.994,-36.4,4.856,5191.0,0,basic.6y,"(35, 45]"
28,blue-collar,single,basic.9y,no,no,no,1.0,jul,fri,6.0,999,0,nonexistent,1.4,93.918,-42.7,4.962,5228.1,1,basic.9y,"(25, 35]"
41,management,married,basic.6y,no,no,no,1.0,sep,fri,1.0,999,0,nonexistent,-3.4,92.379,-29.8,0.803,5017.5,0,basic.6y,"(35, 45]"
48,entrepreneur,married,university.degree,no,no,no,1.0,apr,thu,1.0,999,2,failure,-1.8,93.075,-47.1,1.365,5099.1,0,university.degree,"(45, 55]"
57,services,married,high.school,unknown,yes,yes,0.0,jun,thu,1.0,999,0,nonexistent,1.4,94.465,-41.8,4.961,5228.1,0,high.school,"(55, 65]"
34,services,single,high.school,unknown,no,no,1.0,jul,fri,2.0,999,0,nonexistent,1.4,93.918,-42.7,4.963,5228.1,0,high.school,"(25, 35]"
29,blue-collar,single,basic.6y,no,no,no,0.0,nov,fri,2.0,999,0,nonexistent,-0.1,93.2,-42.0,4.021,5195.8,0,basic.6y,"(25, 35]"
60,retired,married,basic.4y,no,no,no,1.0,oct,mon,1.0,999,0,nonexistent,-3.4,92.431,-26.9,0.739,5017.5,0,basic.4y,"(55, 65]"
38,blue-collar,married,basic.6y,no,yes,no,1.0,may,tue,1.0,999,0,nonexistent,-1.8,92.893,-46.2,1.344,5099.1,1,basic.6y,"(35, 45]"
72,retired,married,basic.4y,no,no,no,1.0,sep,fri,1.0,3,2,success,-3.4,92.379,-29.8,0.803,5017.5,1,basic.4y,"(65, 75]"
37,admin.,single,high.school,no,no,yes,1.0,nov,wed,1.0,999,0,nonexistent,-3.4,92.649,-30.1,0.715,5017.5,0,high.school,"(35, 45]"
52,self-employed,married,university.degree,no,yes,no,0.0,may,tue,1.0,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,university.degree,"(45, 55]"
33,blue-collar,married,basic.4y,no,no,no,1.0,jul,thu,1.0,999,0,nonexistent,1.4,93.918,-42.7,4.963,5228.1,0,basic.4y,"(25, 35]"
27,services,single,high.school,no,no,no,0.0,jul,thu,6.0,999,0,nonexistent,1.4,93.918,-42.7,4.962,5228.1,0,high.school,"(25, 35]"
54,blue-collar,married,basic.4y,no,yes,no,0.0,may,wed,5.0,999,0,nonexistent,1.1,93.994,-36.4,4.856,5191.0,0,basic.4y,"(45, 55]"
42,blue-collar,married,basic.4y,unknown,no,no,0.0,may,thu,3.0,999,0,nonexistent,1.1,93.994,-36.4,4.86,5191.0,0,basic.4y,"(35, 45]"
35,technician,married,professional.course,no,yes,no,0.0,may,fri,1.0,999,0,nonexistent,1.1,93.994,-36.4,4.859,5191.0,0,professional.course,"(25, 35]"
60,admin.,married,university.degree,no,no,no,1.0,nov,tue,1.0,7,2,success,-1.1,94.767,-50.8,1.046,4963.6,1,unknown,"(55, 65]"
42,services,married,high.school,no,yes,no,1.0,may,thu,2.0,999,0,nonexistent,-1.8,92.893,-46.2,1.266,5099.1,0,high.school,"(35, 45]"
42,blue-collar,married,basic.6y,no,yes,no,0.0,jun,thu,1.0,999,0,nonexistent,1.4,94.465,-41.8,4.958,5228.1,0,basic.6y,"(35, 45]"
39,unemployed,married,high.school,no,yes,no,0.0,may,fri,1.0,999,0,nonexistent,1.1,93.994,-36.4,4.855,5191.0,0,high.school,"(35, 45]"
37,unemployed,married,basic.9y,no,yes,yes,1.0,may,fri,4.0,999,0,nonexistent,-1.8,92.893,-46.2,1.313,5099.1,0,basic.9y,"(35, 45]"
57,entrepreneur,married,basic.9y,no,yes,no,1.0,may,mon,2.0,999,0,nonexistent,-1.8,92.893,-46.2,1.354,5099.1,0,basic.9y,"(55, 65]"
33,unemployed,married,high.school,no,no,yes,1.0,oct,tue,1.0,999,0,nonexistent,-3.4,92.431,-26.9,0.742,5017.5,0,high.school,"(25, 35]"
47,services,married,professional.course,no,yes,no,0.0,may,fri,2.0,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,professional.course,"(45, 55]"
41,management,single,university.degree,no,no,no,1.0,jul,tue,1.0,999,0,nonexistent,1.4,93.918,-42.7,4.961,5228.1,0,university.degree,"(35, 45]"
76,retired,married,university.degree,no,yes,no,1.0,aug,thu,2.0,6,3,success,-1.7,94.027,-38.3,0.899,4991.6,1,university.degree,"(75, 85]"
63,housemaid,married,basic.4y,no,no,no,1.0,aug,tue,1.0,999,1,failure,-2.9,92.201,-31.4,0.838,5076.2,1,basic.4y,"(55, 65]"
47,blue-collar,married,professional.course,unknown,no,yes,0.0,may,thu,2.0,999,0,nonexistent,1.1,93.994,-36.4,4.86,5191.0,0,professional.course,"(45, 55]"
52,management,married,university.degree,no,yes,no,1.0,aug,tue,1.0,999,0,nonexistent,1.4,93.444,-36.1,4.966,5228.1,0,university.degree,"(45, 55]"
25,student,single,high.school,no,no,no,1.0,oct,fri,3.0,999,0,nonexistent,-1.1,94.601,-49.5,1.029,4963.6,1,high.school,"(15, 25]"
54,services,married,high.school,no,no,no,1.0,jul,tue,1.0,999,0,nonexistent,1.4,93.918,-42.7,4.961,5228.1,0,high.school,"(45, 55]"
66,retired,divorced,basic.4y,no,yes,no,1.0,mar,thu,4.0,999,2,failure,-1.8,93.369,-34.8,0.654,5008.7,0,basic.4y,"(65, 75]"
46,blue-collar,married,basic.4y,no,yes,no,1.0,jul,fri,1.0,999,0,nonexistent,1.4,93.918,-42.7,4.957,5228.1,0,basic.4y,"(45, 55]"
37,admin.,single,high.school,no,no,no,1.0,jul,mon,3.0,999,0,nonexistent,1.4,93.918,-42.7,4.96,5228.1,0,high.school,"(35, 45]"
35,blue-collar,married,basic.9y,no,yes,no,0.0,may,thu,2.0,999,0,nonexistent,1.1,93.994,-36.4,4.855,5191.0,0,basic.9y,"(25, 35]"
44,management,married,basic.6y,no,yes,yes,1.0,mar,thu,1.0,999,0,nonexistent,-1.8,92.843,-50.0,1.757,5099.1,0,basic.6y,"(35, 45]"
59,entrepreneur,divorced,high.school,unknown,yes,no,0.0,may,wed,1.0,999,0,nonexistent,1.1,93.994,-36.4,4.856,5191.0,0,high.school,"(55, 65]"
30,self-employed,married,university.degree,no,yes,no,0.0,jul,thu,6.0,999,0,nonexistent,1.4,93.918,-42.7,4.963,5228.1,0,university.degree,"(25, 35]"
49,services,divorced,high.school,unknown,no,yes,0.0,may,fri,2.0,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,high.school,"(45, 55]"
36,technician,married,professional.course,no,no,no,0.0,may,tue,2.0,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,unknown,"(35, 45]"
41,blue-collar,married,basic.9y,unknown,yes,no,0.0,jun,mon,2.0,999,0,nonexistent,1.4,94.465,-41.8,4.961,5228.1,0,basic.9y,"(35, 45]"
33,self-employed,single,university.degree,no,no,no,0.0,may,fri,1.0,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,university.degree,"(25, 35]"
31,admin.,single,university.degree,no,yes,no,0.0,jun,wed,2.0,999,0,nonexistent,1.4,94.465,-41.8,4.864,5228.1,0,university.degree,"(25, 35]"
39,blue-collar,married,basic.6y,unknown,no,yes,1.0,nov,wed,5.0,999,0,nonexistent,-0.1,93.2,-42.0,4.12,5195.8,0,basic.6y,"(35, 45]"
30,admin.,single,high.school,no,no,no,1.0,aug,fri,1.0,999,0,nonexistent,1.4,93.444,-36.1,4.964,5228.1,0,high.school,"(25, 35]"
56,housemaid,divorced,basic.4y,no,yes,no,1.0,nov,thu,1.0,999,1,failure,-0.1,93.2,-42.0,4.076,5195.8,0,basic.4y,"(55, 65]"
40,blue-collar,married,basic.9y,unknown,no,no,0.0,jun,mon,3.0,999,0,nonexistent,1.4,94.465,-41.8,4.96,5228.1,0,basic.9y,"(35, 45]"
